ageNo,ageGrp,wk,imm,immPct
0,	18-99,	0,	1923.7379999999998,	0.0021985240454603324
0,	18-99,	1,	3366.8576666666663,	0.003847778407355437
0,	18-99,	2,	335045.5113333334,	0.3829032919191105
0,	18-99,	3,	397458.5064444445,	0.45423133685089223
0,	18-99,	4,	539241.7264999999,	0.6162668211709671
0,	18-99,	5,	578581.3938333332,	0.6612257524665716
0,	18-99,	6,	952803.54175,	1.088901657677471
0,	18-99,	7,	1090677.0998888894,	1.246469025375942
0,	18-99,	8,	1564939.7478611108,	1.7884751797642309
0,	18-99,	9,	2075496.9160833335,	2.3719601506483596
0,	18-99,	10,	2099026.95925,	2.398851216735652
0,	18-99,	11,	3264819.627499999,	3.731165291297252
0,	18-99,	12,	4266430.693427992,	4.875846122388516
0,	18-99,	13,	5780356.37031564,	6.606020399591183
0,	18-99,	14,	8487403.134197436,	9.699740751624416
0,	18-99,	15,	1.0822347317395205E7,	12.368207523902155
0,	18-99,	16,	1.2501668130844362E7,	14.287401919609874
0,	18-99,	17,	1.2716007281158183E7,	14.532357197224846
0,	18-99,	18,	1.2638355272933602E7,	14.443613404015986
0,	18-99,	19,	1.2501324827572111E7,	14.287009579021433
0,	18-99,	20,	1.2362602896025129E7,	14.12847265656175
0,	18-99,	21,	1.4435605305804934E7,	16.497581986521503
0,	18-99,	22,	1.6639427127976514E7,	19.016196926785938
0,	18-99,	23,	1.8632662098918885E7,	21.2941448655745
0,	18-99,	24,	2.0751496722116552E7,	23.71563306586682
0,	18-99,	25,	2.158633825850606E7,	24.669723067676518
0,	18-99,	26,	2.292033627077746E7,	26.194268877228005
0,	18-99,	27,	2.450905694669945E7,	28.009921844281987
0,	18-99,	28,	2.780410163321038E7,	31.77562953117104
0,	18-99,	29,	2.9833680415029522E7,	34.09511261773765
0,	18-99,	30,	3.150409968494506E7,	36.00413397662832
0,	18-99,	31,	3.49433459388681E7,	39.934640931062425
0,	18-99,	32,	3.689357100286068E7,	42.16343544322942
0,	18-99,	33,	4.026808276416364E7,	46.01996125335182
0,	18-99,	34,	4.135358255613879E7,	47.260513446009845
0,	18-99,	35,	4.290271981631419E7,	49.0309289164191
0,	18-99,	36,	4.303927164187548E7,	49.186985755732984
0,	18-99,	37,	4.393579233893658E7,	50.211565147386985
0,	18-99,	38,	4.43962940703669E7,	50.73784478085352
0,	18-99,	39,	4.42060970586141E7,	50.52048009620664
0,	18-99,	40,	4.534752878928561E7,	51.824953525609565
0,	18-99,	41,	4.737596144966148E7,	54.14312677915729
0,	18-99,	42,	5.23341294571381E7,	59.809517725257805
0,	18-99,	43,	5.360632625596999E7,	61.2634346582235
0,	18-99,	44,	5.693450762896344E7,	65.06701226399898
0,	18-99,	45,	5.6984757486135684E7,	65.12443979273424
0,	18-99,	46,	5.67392376015929E7,	64.8438499360043
0,	18-99,	47,	5.586196229239195E7,	63.84126493650491
0,	18-99,	48,	5.5603581818211295E7,	63.5459774881291
0,	18-99,	49,	5.8029381050319396E7,	66.31827701189421
0,	18-99,	50,	6.510211781259891E7,	74.40128095478184
0,	18-99,	51,	6.662734647056434E7,	76.14437272682264
